Case\_Size,Is\_Ind,Angle\_deg,Distance\_mm,Center\_Dist,Coupling,SRF\_Delta\_GHz
0,0,0,0.5,1.3,46.55,-0.012
0,0,0,1,1.8,54.60,-0.005
0,0,0,1.5,2.3,41.47,0.008
0,0,45,0.5,1.42,57.44,0.005
0,0,45,1,1.92,59.49,-0.106
0,0,45,1.5,2.42,49.49,-0.122
0,0,90,0.5,1,89.70,-0.177
0,0,90,1,1.5,80.21,-0.242
0,0,90,1.5,2,73.00,-0.188
0,1,0,0.5,1.3,83.83,0.116
0,1,0,1,1.8,171.11,0.204
0,1,0,1.5,2.3,66.72,0.061
0,1,45,0.5,1.42,166.50,0.189
0,1,45,1,1.92,85.61,0.044
0,1,45,1.5,2.42,98.54,0.05
0,1,90,0.5,1,165.39,0.135
0,1,90,1,1.5,139.14,0.091
0,1,90,1.5,2,89.54,0.023
1,0,0,0.5,1.7,40.01,0.111
1,0,0,1,2.19,37.53,0.163
1,0,0,1.5,2.7,30.10,0.119
1,0,45,0.5,1.7,92.65,0.219
1,0,45,1,2.18,58.15,0.061
1,0,45,1.5,2.7,56.53,0.152
1,0,90,0.5,1,252.19,0.595
1,0,90,1,1.5,159.89,0.363
1,0,90,1.5,2,130.37,0.248
1,1,0,0.5,1.7,112.42,0.067
1,1,0,1,2.19,87.99,0.052
1,1,0,1.5,2.7,79.90,-0.062
1,1,45,0.5,1.7,71.71,0.049
1,1,45,1,2.18,80.81,0.083
1,1,45,1.5,2.7,69.64,-0.079
1,1,90,0.5,1,201.69,0.159
1,1,90,1,1.5,62.61,0.009
1,1,90,1.5,2,60.12,0.060
